timestamp,suhu,kelembapan,cahaya,kondisi
"25/3/2026, 11.32.23","38,54","58,13",1737,TERANG
"25/3/2026, 11.37.37","38,13","60,36",1731,TERANG
"25/3/2026, 11.44.03","37,79","60,92",1562,TERANG
"25/3/2026, 11.49.08","37,91","60,25",1699,TERANG
"25/3/2026, 11.54.11","39,09","56,51",1420,TERANG
"25/3/2026, 11.59.14","39,5","55,23",1501,TERANG
"25/3/2026, 12.04.20","39,52","54,14",1593,TERANG
"25/3/2026, 12.09.22","39,5","54,02",1430,TERANG
"25/3/2026, 12.14.26","39,5",54,1498,TERANG
"25/3/2026, 12.19.29","39,5",54,1560,TERANG
"25/3/2026, 12.24.42","39,82","53,09",1528,TERANG
"25/3/2026, 12.29.58","39,5","53,91",1418,TERANG
"25/3/2026, 12.41.44",39,"54,57",1530,TERANG
"25/3/2026, 12.46.46",39,"54,52",1520,TERANG
"25/3/2026, 19.17.22","31,29991","75,89333",2321,TERANG
"25/3/2026, 19.23.14","31,29991","75,10333",2321,TERANG
"25/3/2026, 19.28.29","31,61057","74,99333",2323,TERANG
"25/3/2026, 19.39.12","31,24124","76,51667",2327,TERANG
"25/3/2026, 19.44.15","30,9209","77,79333",2329,TERANG
"25/3/2026, 19.49.38","30,40409","78,96333",2324,TERANG
"25/3/2026, 20.07.39","30,96591","77,61333",2323,TERANG
"25/3/2026, 20.13.16","30,79991","78,76334",2322,TERANG
"25/3/2026, 20.18.34","30,53741","78,99333",2322,TERANG
"25/3/2026, 20.28.54","30,66656","78,41666",2322,TERANG
"25/3/2026, 20.34.23","30,0406","78,97667",2325,TERANG
"25/3/2026, 20.39.32","29,79991","81,09333",2336,TERANG
"26/3/2026, 00.34.59","27,74869","89,78333",4024,GELAP
"26/3/2026, 00.40.01","28,00833","86,22",4095,GELAP
"26/3/2026, 00.45.06","28,17269",84,4095,GELAP
"26/3/2026, 00.50.09","28,382","83,83667",4095,GELAP
"26/3/2026, 00.55.11","28,5","82,79333",4095,GELAP
"26/3/2026, 01.00.16","28,5","83,90334",4095,GELAP
"26/3/2026, 01.05.21","28,5","83,97334",4095,GELAP
"26/3/2026, 01.10.24","28,5","83,46",4095,GELAP
"26/3/2026, 01.15.26","28,50734","83,29667",4095,GELAP
"26/3/2026, 01.20.28","28,61133","82,46",4095,GELAP
"26/3/2026, 01.25.31","28,74996","82,16666",4095,GELAP
"26/3/2026, 01.30.36","28,89996","80,13",4095,GELAP
"26/3/2026, 01.35.39","29,02657",80,4095,GELAP
"26/3/2026, 01.40.44","28,77064","80,98333",4095,GELAP
"26/3/2026, 01.45.46","28,5","83,69334",4095,GELAP
"26/3/2026, 01.50.50","28,60931","82,42",4095,GELAP
"26/3/2026, 01.55.52","28,5","83,18333",4095,GELAP
"26/3/2026, 02.00.55","28,5","83,98666",4095,GELAP
"26/3/2026, 02.05.59","28,28167","83,98666",4095,GELAP
"26/3/2026, 02.11.03",28,"84,93667",4095,GELAP
"26/3/2026, 02.16.06",28,"84,99333",4095,GELAP
"26/3/2026, 02.21.08","28,296","84,34",4095,GELAP
"26/3/2026, 02.26.11",28,"85,82",4095,GELAP
"26/3/2026, 02.31.16",28,"86,97334",4095,GELAP
"26/3/2026, 06.20.17","27,43106","92,69666",4095,GELAP
"26/3/2026, 06.25.21","27,81602","90,04",4095,GELAP
"26/3/2026, 06.30.26","28,32767","86,62334",4047,GELAP
"26/3/2026, 06.35.29","28,183","86,24",3809,GELAP
"26/3/2026, 06.40.33",28,"86,96667",3700,GELAP
"26/3/2026, 06.45.37","28,00333","87,35",3500,GELAP
"26/3/2026, 06.50.40",28,"87,98666",3424,GELAP
"26/3/2026, 06.55.45",28,"87,83667",3389,GELAP
"26/3/2026, 07.00.48",28,"87,93",3455,GELAP
"26/3/2026, 07.05.50","28,46567","86,70667",3281,GELAP
"26/3/2026, 07.11.01","28,20835","86,80666",3685,GELAP
"26/3/2026, 07.16.06","28,18367","87,95",3492,GELAP
"26/3/2026, 07.21.09","27,60473","91,21667",2908,GELAP
"26/3/2026, 07.26.13","27,60006","91,97334",2912,GELAP
"26/3/2026, 07.31.17","27,60006","92,01334",3083,GELAP
"26/3/2026, 07.36.22","27,60006","92,67",3175,GELAP
"26/3/2026, 07.41.26","27,60006","92,98",3375,GELAP
"26/3/2026, 07.46.31","27,60006","92,98666",3825,GELAP
"26/3/2026, 07.51.36","27,60006","92,98666",3532,GELAP
"26/3/2026, 07.56.50","27,60006","92,96",3079,GELAP
"26/3/2026, 08.07.04","27,60006","92,98",2718,GELAP
"26/3/2026, 08.12.06","27,60006","92,99333",2665,GELAP
"26/3/2026, 08.17.08","27,60006",93,2884,GELAP
"26/3/2026, 08.22.10","27,60006",93,2834,GELAP
"26/3/2026, 08.27.12","27,60006",93,2834,GELAP
"26/3/2026, 08.32.17","27,60006","93,57",2738,GELAP
"26/3/2026, 08.37.19","27,60006","93,89333",2490,GELAP
"26/3/2026, 08.42.22","27,60006","94,02333",2593,GELAP
"26/3/2026, 08.47.24","27,60006","94,63667",2561,GELAP
"26/3/2026, 08.52.29","27,90866","93,27666",2238,TERANG
"26/3/2026, 08.57.31",28,"92,99333",2089,TERANG
"26/3/2026, 09.02.33",28,"92,99333",2149,TERANG
"26/3/2026, 09.07.44",28,"93,92",2396,TERANG
"26/3/2026, 09.12.47",28,"93,69334",2815,GELAP
"26/3/2026, 09.18.00",28,"93,65667",2496,GELAP
"26/3/2026, 09.29.07",28,"94,11333",2374,TERANG
"26/3/2026, 09.34.43",28,"93,91333",2643,GELAP
"26/3/2026, 09.45.36",28,"94,92",2657,GELAP
"26/3/2026, 09.50.42",28,"94,98",2043,TERANG
"26/3/2026, 09.55.49",28,"94,98666",2148,TERANG
"26/3/2026, 10.01.11",28,"95,08",2225,TERANG
"26/3/2026, 10.06.21",28,"95,88667",2035,TERANG
"26/3/2026, 10.11.35",28,"95,89667",1477,TERANG
"26/3/2026, 10.16.39","28,35367","95,88667",1133,TERANG
"26/3/2026, 10.21.47","28,5","94,99333",1216,TERANG
"26/3/2026, 10.26.50","28,5","94,98",1397,TERANG
"26/3/2026, 10.31.57","28,79663","94,97334",1222,TERANG
"26/3/2026, 10.37.10","28,89996","94,88",1131,TERANG
"26/3/2026, 10.42.12","28,89996","95,42333",1161,TERANG
"26/3/2026, 10.47.16","29,11123","95,78667",1114,TERANG
"26/3/2026, 10.52.37","29,29991","96,02666",1148,TERANG
"26/3/2026, 10.57.43","29,29991","96,47334",1209,TERANG
"26/3/2026, 11.02.45","29,29991","96,38",1187,TERANG
"26/3/2026, 11.09.22","29,75524","96,3",1701,TERANG
"26/3/2026, 11.14.32","29,79991","96,57333",1913,TERANG
"26/3/2026, 11.19.47","29,31157","97,37334",1880,TERANG
"26/3/2026, 11.25.11","29,29991","97,7",2350,TERANG
"26/3/2026, 11.30.31","29,29991","97,89333",2521,GELAP
"26/3/2026, 11.35.34","29,29991","97,46667",1890,TERANG
"26/3/2026, 11.40.39","29,29991","95,74333",1845,TERANG
"26/3/2026, 11.45.43","29,29991","94,98666",2409,GELAP
"26/3/2026, 11.50.48","29,29991","94,98",2252,TERANG
"26/3/2026, 11.55.55","29,29991","94,98",2130,TERANG
"26/3/2026, 12.00.58","29,27324","94,98",2738,GELAP
"26/3/2026, 12.06.02","29,24262","94,99333",2350,TERANG
"26/3/2026, 12.11.04","29,28925","94,23666",1751,TERANG
"26/3/2026, 12.16.13","29,26857","93,98666",2274,TERANG
"26/3/2026, 12.21.16","29,18198","94,04333",1684,TERANG
"26/3/2026, 12.26.23","29,28325","94,91",2058,TERANG
"26/3/2026, 12.31.29","29,29991","93,97334",2278,TERANG
"26/3/2026, 12.36.32","29,29991","93,97334",2080,TERANG
"26/3/2026, 12.41.34","29,29991","93,98666",3546,GELAP
"26/3/2026, 12.46.44","28,95863","94,45333",3667,GELAP
"26/3/2026, 12.57.31","28,84394","93,49",3701,GELAP
"26/3/2026, 13.02.34","28,5","92,55",3881,GELAP
"26/3/2026, 13.07.39","28,5","91,99333",4053,GELAP
"26/3/2026, 13.12.41","28,5","91,47",3839,GELAP
"26/3/2026, 13.17.45","28,46766","90,98",3834,GELAP
"26/3/2026, 13.22.50","28,00833","90,53",2623,GELAP
"26/3/2026, 13.27.54",28,"89,97334",2042,TERANG
"26/3/2026, 13.38.07",28,89,1977,TERANG
"26/3/2026, 13.43.13",28,"88,98",2001,TERANG
"26/3/2026, 13.48.17",28,"89,18667",2009,TERANG
"26/3/2026, 13.53.19",28,"88,98666",2018,TERANG
"26/3/2026, 13.58.22",28,"89,03333",2011,TERANG
"26/3/2026, 14.03.27",28,"88,98",2005,TERANG
"26/3/2026, 14.08.30",28,"88,96667",1988,TERANG
"26/3/2026, 14.13.32",28,"88,99333",1965,TERANG
"26/3/2026, 14.18.34",28,"88,99333",2036,TERANG
"26/3/2026, 14.23.40",28,"89,33",2046,TERANG
"26/3/2026, 14.43.09","27,10007","94,59666",2539,GELAP
"26/3/2026, 14.53.22","27,10007","95,91333",2461,GELAP
"26/3/2026, 14.58.26","27,10007","95,98",2522,GELAP
"26/3/2026, 15.03.31","27,10007","95,98",2587,GELAP
"26/3/2026, 15.08.34","27,10007","95,98",2823,GELAP
"26/3/2026, 15.13.36","27,12576","95,99333",2919,GELAP
"26/3/2026, 15.18.38","27,35467","95,99333",3149,GELAP
"26/3/2026, 15.23.41","27,5854","95,99333",3540,GELAP
"26/3/2026, 15.28.44","27,5514","95,98666",3430,GELAP
"26/3/2026, 15.33.46","27,57273",96,3271,GELAP
"26/3/2026, 15.38.49","27,60006",96,2840,GELAP
"26/3/2026, 15.43.53","27,59739","95,99333",2823,GELAP
"26/3/2026, 15.48.57","27,60006","96,22334",2677,GELAP
"26/3/2026, 15.59.09","27,10407","97,93333",2683,GELAP
"26/3/2026, 16.14.34","27,10507","97,96",3117,GELAP
"26/3/2026, 16.19.37","27,38238","97,98",3417,GELAP
"26/3/2026, 16.24.42","27,60006","97,96667",3739,GELAP
"26/3/2026, 16.30.02","27,55472","97,85333",3774,GELAP
"26/3/2026, 16.40.31","27,56407","97,92667",3005,GELAP
"26/3/2026, 18.53.16","27,10007","97,96",1618,TERANG
"26/3/2026, 18.58.37","26,99275","97,96667",1610,TERANG
"26/3/2026, 19.03.50","26,94871","97,98666",1606,TERANG
"26/3/2026, 19.40.56","27,10007","97,92667",1609,TERANG
"26/3/2026, 20.06.53","26,70008","97,83334",4095,GELAP
"26/3/2026, 20.12.24","26,70108","97,92",4095,GELAP
"26/3/2026, 20.22.45","26,90803","97,94666",4095,GELAP
"26/3/2026, 20.28.09","26,96207","97,88667",4095,GELAP
"26/3/2026, 20.38.46","26,70008","97,97334",4095,GELAP
"26/3/2026, 20.50.13","26,70008","97,86333",4095,GELAP
"26/3/2026, 22.04.15","28,46432","92,28",4095,GELAP
"26/3/2026, 22.15.47","27,3744","94,61",4095,GELAP
"26/3/2026, 22.21.04","27,5664","94,63333",4095,GELAP
"26/3/2026, 22.42.13","27,60006","93,92",4095,GELAP
"26/3/2026, 22.47.16","27,60006","93,07667",4095,GELAP
"26/3/2026, 22.52.19","27,60006",93,4095,GELAP
"26/3/2026, 23.02.44","27,60006","92,98",4095,GELAP
"26/3/2026, 23.13.05","27,60006","92,89333",4095,GELAP
"26/3/2026, 23.18.07","27,60006","92,44334",4095,GELAP
"26/3/2026, 23.23.09","27,60006","91,99333",4095,GELAP
"26/3/2026, 23.28.11","27,60006","91,98",4095,GELAP
"26/3/2026, 23.38.24","27,60006","91,96667",4095,GELAP
"26/3/2026, 23.48.59","27,60006","91,91333",4095,GELAP
"26/3/2026, 23.54.18","27,60006","91,91",4095,GELAP
"26/3/2026, 23.59.37","27,60006","91,90667",4095,GELAP
"27/3/2026, 00.04.43","27,60006","91,98",4095,GELAP
"27/3/2026, 00.09.46","27,60006","91,95333",4095,GELAP
"27/3/2026, 00.14.52","27,60006","91,96667",4095,GELAP
"27/3/2026, 00.19.55","27,60006","91,96667",4095,GELAP
"27/3/2026, 00.24.59","27,60006","91,98",4095,GELAP
"27/3/2026, 00.30.01","27,60006","91,98",4095,GELAP
"27/3/2026, 00.35.06","27,60006","91,98666",4095,GELAP
"27/3/2026, 00.40.10","27,60006","91,98",4095,GELAP
"27/3/2026, 00.45.14","27,60006","91,98",4095,GELAP
"27/3/2026, 00.50.18","27,60006","91,98",4095,GELAP
"27/3/2026, 00.55.22","27,60006","91,98",4095,GELAP
"27/3/2026, 01.00.26","27,60006","91,98",4095,GELAP
"27/3/2026, 01.05.28","27,60006","91,98666",4095,GELAP
"27/3/2026, 01.10.33","27,60006","91,98666",4095,GELAP
"27/3/2026, 01.15.38","27,60006","91,98",4095,GELAP
"27/3/2026, 01.20.42","27,60006","91,98666",4095,GELAP
"27/3/2026, 01.25.55","27,60006","91,98",4095,GELAP
"27/3/2026, 01.30.51","27,60006","91,98666",4095,GELAP
"27/3/2026, 01.35.55","27,60006","92,53667",4095,GELAP
"27/3/2026, 01.40.59","27,60006","92,82333",4095,GELAP
"27/3/2026, 01.46.01","27,60006","92,96667",4095,GELAP
"27/3/2026, 01.51.05","27,60006","92,98",4095,GELAP
"27/3/2026, 01.56.08","27,60006","92,94",4095,GELAP
"27/3/2026, 02.01.12","27,60006","92,94666",4095,GELAP
"27/3/2026, 02.06.16","27,60006","92,97334",4095,GELAP
"27/3/2026, 02.11.19","27,60006","92,97334",4095,GELAP
"27/3/2026, 02.16.22","27,60006","92,98666",4095,GELAP
"27/3/2026, 02.21.27","27,60006","92,98666",4095,GELAP
"27/3/2026, 02.26.30","27,60006","92,80666",4095,GELAP
"27/3/2026, 02.31.34","27,60006","92,96",4095,GELAP
"27/3/2026, 02.36.36","27,60006","92,09",4095,GELAP
"27/3/2026, 02.41.39","27,60006",92,4095,GELAP
"27/3/2026, 02.46.42","27,60006","91,98666",4095,GELAP
"27/3/2026, 02.51.45","27,60006","91,98666",4095,GELAP
"27/3/2026, 02.56.47","27,60006","91,98666",4095,GELAP
"27/3/2026, 03.01.50","27,60006","91,99333",4095,GELAP
"27/3/2026, 03.06.53","27,60006","91,98666",4095,GELAP
"27/3/2026, 03.11.56","27,60006","92,74",4095,GELAP
"27/3/2026, 03.16.58","27,60006","91,99333",4095,GELAP
"27/3/2026, 03.22.00","27,60006","91,99333",4095,GELAP
"27/3/2026, 03.27.05","27,60006","91,99333",4095,GELAP
"27/3/2026, 03.32.09","27,60006","91,98",4095,GELAP
"27/3/2026, 03.37.13","27,60006","91,99333",4095,GELAP
"27/3/2026, 03.42.15","27,60006","91,99333",4095,GELAP
"27/3/2026, 03.47.20","27,60006","92,84333",4095,GELAP
"27/3/2026, 03.52.28","27,60006","92,96667",4095,GELAP
"27/3/2026, 03.57.27","27,60006","92,96",4095,GELAP
"27/3/2026, 04.02.29","27,60006","92,96",4095,GELAP
"27/3/2026, 04.07.31","27,60006","92,95333",4095,GELAP
"27/3/2026, 04.12.34","27,60006","92,98666",4095,GELAP
"27/3/2026, 04.17.35","27,60006","92,99333",4095,GELAP
"27/3/2026, 04.22.38","27,60006","92,98666",4095,GELAP
"27/3/2026, 04.27.40","27,60006","92,98666",4095,GELAP
"27/3/2026, 04.32.43","27,60006","92,97334",4095,GELAP
"27/3/2026, 04.37.45","27,60006","92,98",4095,GELAP
"27/3/2026, 04.43.02","27,60006","92,98666",4095,GELAP
"27/3/2026, 04.47.54","27,60006","92,97334",4095,GELAP
"27/3/2026, 04.52.58","27,60006","92,98666",4095,GELAP
"27/3/2026, 04.58.00","27,60006","92,98666",4095,GELAP
"27/3/2026, 05.03.03","27,60006","92,99333",4095,GELAP
"27/3/2026, 05.08.06","27,60006","92,98666",4095,GELAP
"27/3/2026, 05.13.10","27,60006","92,98666",4095,GELAP
"27/3/2026, 05.18.12","27,60006","92,99333",4095,GELAP
"27/3/2026, 05.23.16","27,60006","92,99333",4095,GELAP
"27/3/2026, 05.28.19","27,60006","92,99333",4095,GELAP
"27/3/2026, 05.33.22","27,60006","92,99333",4095,GELAP
"27/3/2026, 05.38.25","27,60006",93,4095,GELAP
"27/3/2026, 05.43.28","27,60006",93,4095,GELAP
"27/3/2026, 05.58.52","27,60006","93,08667",4094,GELAP
"27/3/2026, 06.03.55","27,60006","93,33667",4095,GELAP
"27/3/2026, 06.08.58","27,60006","93,95333",4093,GELAP
"27/3/2026, 06.14.01","27,60006","93,98",4006,GELAP
"27/3/2026, 06.19.05","27,60006","93,98",3814,GELAP
"27/3/2026, 06.24.09","27,60006","93,98666",3946,GELAP
"27/3/2026, 06.29.16","27,60006","93,98666",3890,GELAP
"27/3/2026, 06.34.18","27,60006","93,98666",3838,GELAP
"27/3/2026, 06.39.22","27,60006","93,98",3706,GELAP
"27/3/2026, 06.44.24","27,60006","93,98666",3829,GELAP
"27/3/2026, 06.49.28","27,60006","93,98",3805,GELAP
"27/3/2026, 06.59.41","27,60006","93,96667",3218,GELAP
"27/3/2026, 07.04.46","27,60006","93,97334",3046,GELAP
"27/3/2026, 07.09.49","27,60006","93,96",3331,GELAP
"27/3/2026, 07.17.20","27,60006","93,96",3496,GELAP
"27/3/2026, 07.19.59","27,60006","93,96667",2906,GELAP
"27/3/2026, 07.25.06","27,60006","93,97334",2847,GELAP
"27/3/2026, 07.30.09","27,60006","93,98",2835,GELAP
"27/3/2026, 07.35.15","27,60006","93,98",2447,GELAP
"27/3/2026, 07.45.26","27,60006","93,98666",2343,TERANG
"27/3/2026, 07.50.28","27,60006","93,99333",2387,TERANG
"27/3/2026, 07.55.31","27,60006","93,98666",2361,TERANG
"27/3/2026, 08.00.36","27,62106","94,38",2447,GELAP
"27/3/2026, 08.05.39","27,86399","93,53",2543,GELAP
"27/3/2026, 08.10.42",28,"93,5",2333,TERANG
"27/3/2026, 08.15.53",28,"93,93333",2187,TERANG
"27/3/2026, 08.20.57",28,"93,98",2156,TERANG
"27/3/2026, 08.26.01",28,"94,59666",2203,TERANG
"27/3/2026, 08.31.03",28,"94,11",2241,TERANG
"27/3/2026, 08.41.12","28,44633","94,10333",1867,TERANG
"27/3/2026, 08.46.14","28,5","93,98",1765,TERANG
"27/3/2026, 08.51.17","28,5","93,13",1612,TERANG
"27/3/2026, 08.56.22","28,85262","92,98666",1665,TERANG
"27/3/2026, 09.01.24","28,89996","92,99333",1572,TERANG
"27/3/2026, 09.06.26","28,89996","92,98666",1631,TERANG
"27/3/2026, 09.11.37","28,89996","92,97334",1502,TERANG
"27/3/2026, 09.22.06","29,29991","92,09666",1395,TERANG
"27/3/2026, 09.27.21","29,29991","92,00667",1340,TERANG
"27/3/2026, 09.37.33","29,29991","91,99333",1397,TERANG
"27/3/2026, 09.52.54","29,29991","92,96667",1574,TERANG
"27/3/2026, 10.03.40","29,29991","92,97334",1717,TERANG
"27/3/2026, 10.08.41","29,29991","92,97667",1965,TERANG
"27/3/2026, 10.13.49","29,29991","92,98666",1524,TERANG
"27/3/2026, 10.18.57","29,29991","92,94666",1913,TERANG
"27/3/2026, 10.29.18","29,29991","92,98",1814,TERANG
"27/3/2026, 10.34.22","29,29991","93,14667",1474,TERANG
"27/3/2026, 10.49.46","29,29991","93,94666",1195,TERANG
"27/3/2026, 10.54.48","29,68623","93,75667",1624,TERANG
"27/3/2026, 10.59.54","29,79991","93,59666",1499,TERANG
"27/3/2026, 11.10.07","29,79991","93,96667",1686,TERANG
"27/3/2026, 11.20.24","29,74391","93,92",1693,TERANG
"27/3/2026, 11.41.01","29,79991","92,98666",1785,TERANG
"27/3/2026, 11.46.15","29,79991","92,98",1731,TERANG
"27/3/2026, 11.51.20","29,77723","92,98666",1808,TERANG
"27/3/2026, 12.01.40","29,78258","93,11333",2078,TERANG
"27/3/2026, 12.06.44","29,72664","92,98666",1881,TERANG
"27/3/2026, 12.27.17","29,52161","92,98",2085,TERANG
"27/3/2026, 12.32.22","29,33323","92,98666",2180,TERANG
"27/3/2026, 12.37.32","29,29991","92,95333",1764,TERANG
"27/3/2026, 13.00.14","29,29991","92,60333",1851,TERANG
"27/3/2026, 13.10.26","29,30125","91,99333",1921,TERANG
"27/3/2026, 13.15.41","29,29991","91,98666",2108,TERANG
"27/3/2026, 13.20.45","29,29991","91,99333",1881,TERANG
"27/3/2026, 13.25.57","29,29991","91,99333",1665,TERANG
"27/3/2026, 13.31.02","29,29991",92,1608,TERANG
"27/3/2026, 13.36.42","29,35796","92,1",1647,TERANG
"27/3/2026, 13.47.11","29,78325","91,98666",1834,TERANG
"27/3/2026, 13.52.13","29,79991","91,99333",1739,TERANG
"27/3/2026, 13.57.20","29,79991",92,1803,TERANG
"27/3/2026, 14.02.25","29,79991","91,98666",1667,TERANG
"27/3/2026, 14.07.28","29,79991","91,99333",1589,TERANG
"27/3/2026, 14.12.31","29,79991","91,99333",1604,TERANG
"27/3/2026, 14.17.36","29,79991","91,98666",1735,TERANG
"27/3/2026, 14.22.38","29,79991","91,97334",1872,TERANG
"27/3/2026, 14.33.15","29,79991","90,94666",2010,TERANG
"27/3/2026, 14.38.44","29,79991","90,93",2115,TERANG
