latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.0650263,110.44763,234.0,25200,Asia/Bangkok,GMT+7

time,temperature_2m (°C),relative_humidity_2m (%),cloud_cover (%),direct_radiation (W/m²),diffuse_radiation (W/m²)
2026-04-13T00:00,23.2,94,99,0.0,0.0
2026-04-13T01:00,23.8,92,100,0.0,0.0
2026-04-13T02:00,23.7,95,100,0.0,0.0
2026-04-13T03:00,23.9,93,100,0.0,0.0
2026-04-13T04:00,24.0,92,94,0.0,0.0
2026-04-13T05:00,23.5,93,68,0.0,0.0
2026-04-13T06:00,23.0,94,98,1.0,3.0
2026-04-13T07:00,24.9,90,100,63.0,56.0
2026-04-13T08:00,26.4,80,100,127.0,150.0
2026-04-13T09:00,28.0,73,96,124.0,285.0
2026-04-13T10:00,30.2,61,98,667.0,113.0
2026-04-13T11:00,30.7,59,52,798.0,99.0
2026-04-13T12:00,30.9,60,13,789.0,129.0
2026-04-13T13:00,31.5,56,7,750.0,126.0
2026-04-13T14:00,31.2,57,11,678.0,110.0
2026-04-13T15:00,30.9,59,12,525.0,102.0
2026-04-13T16:00,30.2,62,9,324.0,85.0
2026-04-13T17:00,29.0,69,14,132.0,57.0
2026-04-13T18:00,27.7,74,13,10.0,10.0
2026-04-13T19:00,27.5,77,20,0.0,0.0
2026-04-13T20:00,27.0,81,14,0.0,0.0
2026-04-13T21:00,26.4,83,19,0.0,0.0
2026-04-13T22:00,26.0,84,63,0.0,0.0
2026-04-13T23:00,26.0,83,36,0.0,0.0
2026-04-14T00:00,26.0,82,72,0.0,0.0
2026-04-14T01:00,25.7,83,32,0.0,0.0
2026-04-14T02:00,25.8,82,56,0.0,0.0
2026-04-14T03:00,25.5,82,25,0.0,0.0
2026-04-14T04:00,25.3,83,18,0.0,0.0
2026-04-14T05:00,25.0,84,9,0.0,0.0
2026-04-14T06:00,25.0,84,3,1.0,3.0
2026-04-14T07:00,26.7,79,2,89.0,44.0
2026-04-14T08:00,28.2,73,0,294.0,75.0
2026-04-14T09:00,29.2,66,0,509.0,88.0
2026-04-14T10:00,30.1,64,1,683.0,97.0
2026-04-14T11:00,30.9,59,4,791.0,105.0
2026-04-14T12:00,31.4,57,2,823.0,113.0
2026-04-14T13:00,31.5,56,4,758.0,115.0
2026-04-14T14:00,31.5,57,11,660.0,121.0
2026-04-14T15:00,31.5,58,20,520.0,108.0
2026-04-14T16:00,28.0,73,78,310.0,92.0
2026-04-14T17:00,26.4,83,85,66.0,54.0
2026-04-14T18:00,25.9,85,42,6.0,10.0
2026-04-14T19:00,25.6,86,65,0.0,0.0
2026-04-14T20:00,25.1,87,85,0.0,0.0
2026-04-14T21:00,24.1,93,88,0.0,0.0
2026-04-14T22:00,24.0,93,88,0.0,0.0
2026-04-14T23:00,23.9,93,91,0.0,0.0
2026-04-15T00:00,23.5,96,98,0.0,0.0
2026-04-15T01:00,23.6,94,100,0.0,0.0
2026-04-15T02:00,23.6,93,100,0.0,0.0
2026-04-15T03:00,23.8,90,100,0.0,0.0
2026-04-15T04:00,23.4,94,100,0.0,0.0
2026-04-15T05:00,23.2,93,63,0.0,0.0
2026-04-15T06:00,23.4,90,53,0.0,3.0
2026-04-15T07:00,25.4,83,63,63.0,51.0
2026-04-15T08:00,27.6,74,100,154.0,122.0
2026-04-15T09:00,29.0,65,98,389.0,153.0
2026-04-15T10:00,30.0,61,93,648.0,114.0
2026-04-15T11:00,30.7,59,91,791.0,107.0
2026-04-15T12:00,31.2,57,98,832.0,106.0
2026-04-15T13:00,31.4,54,94,747.0,127.0
2026-04-15T14:00,31.1,54,100,651.0,123.0
2026-04-15T15:00,30.6,55,95,433.0,135.0
2026-04-15T16:00,29.8,59,50,318.0,89.0
2026-04-15T17:00,28.4,73,47,110.0,65.0
2026-04-15T18:00,27.3,80,59,7.0,9.0
2026-04-15T19:00,26.9,74,27,0.0,0.0
2026-04-15T20:00,26.8,73,14,0.0,0.0
2026-04-15T21:00,26.3,74,26,0.0,0.0
2026-04-15T22:00,26.1,74,27,0.0,0.0
2026-04-15T23:00,25.6,76,15,0.0,0.0
2026-04-16T00:00,25.1,80,12,0.0,0.0
2026-04-16T01:00,24.6,85,13,0.0,0.0
2026-04-16T02:00,24.9,82,2,0.0,0.0
2026-04-16T03:00,24.5,81,4,0.0,0.0
2026-04-16T04:00,24.2,82,53,0.0,0.0
2026-04-16T05:00,24.1,82,100,0.0,0.0
2026-04-16T06:00,24.1,83,100,1.0,3.0
2026-04-16T07:00,26.5,77,84,80.0,50.0
2026-04-16T08:00,28.2,71,98,292.0,75.0
2026-04-16T09:00,29.1,67,1,502.0,90.0
2026-04-16T10:00,30.0,63,4,645.0,110.0
2026-04-16T11:00,30.7,60,2,742.0,121.0
2026-04-16T12:00,31.3,57,13,771.0,131.0
2026-04-16T13:00,31.6,56,35,747.0,128.0
2026-04-16T14:00,31.3,57,4,613.0,126.0
2026-04-16T15:00,31.0,57,16,501.0,106.0
2026-04-16T16:00,30.4,60,9,312.0,92.0
2026-04-16T17:00,29.3,65,20,116.0,59.0
2026-04-16T18:00,27.9,70,39,7.0,10.0
2026-04-16T19:00,27.6,75,40,0.0,0.0
2026-04-16T20:00,26.7,80,52,0.0,0.0
2026-04-16T21:00,26.3,80,59,0.0,0.0
2026-04-16T22:00,25.7,81,95,0.0,0.0
2026-04-16T23:00,25.5,82,95,0.0,0.0
2026-04-17T00:00,25.3,83,83,0.0,0.0
2026-04-17T01:00,24.8,83,39,0.0,0.0
2026-04-17T02:00,25.4,81,45,0.0,0.0
2026-04-17T03:00,25.5,80,63,0.0,0.0
2026-04-17T04:00,25.5,80,88,0.0,0.0
2026-04-17T05:00,25.2,82,81,0.0,0.0
2026-04-17T06:00,25.1,83,97,1.0,3.0
2026-04-17T07:00,26.9,80,8,62.0,52.0
2026-04-17T08:00,28.5,70,21,289.0,77.0
2026-04-17T09:00,29.4,66,5,484.0,99.0
2026-04-17T10:00,30.2,63,7,632.0,115.0
2026-04-17T11:00,31.0,60,73,741.0,118.0
2026-04-17T12:00,31.5,58,70,738.0,139.0
2026-04-17T13:00,31.9,57,98,690.0,159.0
2026-04-17T14:00,31.7,57,94,643.0,127.0
2026-04-17T15:00,31.5,57,87,493.0,112.0
2026-04-17T16:00,30.5,60,91,317.0,92.0
2026-04-17T17:00,29.0,70,100,99.0,62.0
2026-04-17T18:00,27.2,83,100,6.0,9.0
2026-04-17T19:00,27.0,83,98,0.0,0.0
2026-04-17T20:00,26.9,84,98,0.0,0.0
2026-04-17T21:00,26.1,86,91,0.0,0.0
2026-04-17T22:00,24.0,90,96,0.0,0.0
2026-04-17T23:00,23.5,92,80,0.0,0.0
2026-04-18T00:00,24.7,87,57,0.0,0.0
2026-04-18T01:00,24.9,86,30,0.0,0.0
2026-04-18T02:00,24.9,86,37,0.0,0.0
2026-04-18T03:00,24.8,87,31,0.0,0.0
2026-04-18T04:00,24.5,87,48,0.0,0.0
2026-04-18T05:00,24.4,87,52,0.0,0.0
2026-04-18T06:00,24.0,90,23,1.0,3.0
2026-04-18T07:00,26.8,79,13,80.0,47.0
2026-04-18T08:00,28.5,71,8,276.0,85.0
2026-04-18T09:00,29.5,67,9,494.0,93.0
2026-04-18T10:00,30.0,65,26,614.0,118.0
2026-04-18T11:00,30.6,63,26,560.0,193.0
2026-04-18T12:00,31.4,59,63,743.0,146.0
2026-04-18T13:00,32.0,55,100,769.0,118.0
2026-04-18T14:00,32.0,54,100,630.0,114.0
2026-04-18T15:00,31.6,55,100,519.0,101.0
2026-04-18T16:00,30.9,57,100,306.0,92.0
2026-04-18T17:00,28.7,71,100,106.0,54.0
2026-04-18T18:00,27.5,78,98,6.0,10.0
2026-04-18T19:00,26.7,82,100,0.0,0.0
2026-04-18T20:00,26.5,81,99,0.0,0.0
2026-04-18T21:00,25.1,87,100,0.0,0.0
2026-04-18T22:00,23.2,96,98,0.0,0.0
2026-04-18T23:00,23.6,97,97,0.0,0.0
2026-04-19T00:00,24.0,94,97,0.0,0.0
2026-04-19T01:00,24.0,91,91,0.0,0.0
2026-04-19T02:00,24.4,88,93,0.0,0.0
2026-04-19T03:00,24.3,86,97,0.0,0.0
2026-04-19T04:00,23.8,89,95,0.0,0.0
2026-04-19T05:00,23.5,90,86,0.0,0.0
2026-04-19T06:00,23.8,89,52,1.0,3.0
2026-04-19T07:00,25.8,82,0,80.0,45.0
2026-04-19T08:00,27.6,77,2,288.0,76.0
2026-04-19T09:00,29.6,66,9,494.0,91.0
2026-04-19T10:00,30.8,60,17,648.0,108.0
2026-04-19T11:00,31.4,57,17,681.0,141.0
2026-04-19T12:00,31.6,56,29,685.0,162.0
2026-04-19T13:00,32.5,50,60,687.0,130.0
2026-04-19T14:00,32.0,52,80,551.0,144.0
2026-04-19T15:00,31.1,55,99,426.0,120.0
2026-04-19T16:00,30.6,56,92,273.0,104.0
2026-04-19T17:00,29.2,64,98,113.0,60.0
2026-04-19T18:00,27.5,76,100,6.0,9.0
