name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"banyumanik, semarang, indonesia",2026-04-13T00:00:00,24.6,24.6,23.7,94.74,0,0,,0,0,15.1,5.8,153.8,1012,100,24.1,0,0,0,10,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T01:00:00,24.3,24.3,23.5,95.3,0,0,,0,0,13.7,5.4,162.7,1011,95.6,24.1,0,0,0,3,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T02:00:00,23.8,23.8,23.1,95.86,0,0,,0,0,14,5.8,162.3,1011,94.3,24.1,0,0,0,3,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T03:00:00,23.9,23.9,22.9,94.14,0,0,,0,0,14,5.8,159.2,1011,90.1,24.1,0,0,0,5,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T04:00:00,23.1,23.1,22.5,96.43,0,0,,0,0,14.4,5.4,158.8,1011,90.4,24.1,0,0,0,5,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T05:00:00,23.4,23.4,22.9,97.02,0,0,,0,0,14.4,5.4,154.1,1011,99.1,24.1,0,0,0,5,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T06:00:00,23.4,23.4,22.7,95.85,0,0,,0,0,15.5,6.5,152.9,1011,99.1,24.1,3.9,0,0,5,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T07:00:00,24.2,24.2,23,93.02,0,0,,0,0,19.1,6.1,143.9,1012,98.7,24.1,117.8,0.4,1,5,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T08:00:00,26.5,26.5,23.9,85.65,0,0,,0,0,19.8,5.4,127.7,1013,93.9,24.1,377.6,1.4,4,3,Overcast,cloudy,remote
"banyumanik, semarang, indonesia",2026-04-13T09:00:00,28.3,32,23.6,75.7,0,0,,0,0,18.7,5.4,118.6,1013,17.7,24.1,626.5,2.3,6,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-13T10:00:00,31,36.4,24,66.37,0,0,,0,0,19.4,5.8,111.3,1013,12.1,24.1,812.7,2.9,8,10,Clear,clear-day,remote
"banyumanik, semarang, indonesia",2026-04-13T11:00:00,31.8,37.2,23.7,62.28,0,0,,0,0,20.9,5.8,99.3,1012,15.8,24.1,939,3.4,9,30,Clear,clear-day,remote
