id,created_at,suhu,kelembapan,cahaya,kondisi
18,2026-04-13 02:52:00.210695+00,29.8,71.5,711,TERANG
19,2026-04-13 02:57:00.190764+00,29.8,70.9,400,TERANG
20,2026-04-13 03:03:00.467898+00,30,68.5,389,TERANG
21,2026-04-13 03:08:00.503225+00,29.8,69.9,260,TERANG
22,2026-04-13 03:13:00.613372+00,30.4,68.1,247,TERANG
23,2026-04-13 03:18:00.917651+00,30.4,67.6,261,TERANG
24,2026-04-13 03:23:00.829361+00,30.8,67.6,245,TERANG
25,2026-04-13 03:28:02.135464+00,31,67.7,531,TERANG
26,2026-04-13 03:33:03.384093+00,30.4,67.1,492,TERANG
27,2026-04-13 03:38:03.421751+00,30.6,68.1,490,TERANG
28,2026-04-13 03:43:03.592935+00,30.6,67.3,500,TERANG
29,2026-04-13 03:48:03.905894+00,31.2,67.4,387,TERANG
30,2026-04-13 03:53:04.275654+00,31.3,68,342,TERANG
31,2026-04-13 03:58:04.934151+00,31.2,67.6,365,TERANG
32,2026-04-13 04:03:05.47915+00,31.1,68.5,401,TERANG
33,2026-04-13 04:08:05.840802+00,31.2,69.2,351,TERANG
34,2026-04-13 04:13:06.319731+00,31.4,67.1,316,TERANG
35,2026-04-13 04:18:07.790237+00,31.8,66.6,331,TERANG
36,2026-04-13 04:23:08.08679+00,32.1,67.4,350,TERANG
37,2026-04-13 04:28:08.499337+00,31.8,68,287,TERANG
38,2026-04-13 04:35:40.787307+00,32,67,275,TERANG
39,2026-04-13 04:40:41.000967+00,31.8,67.8,307,TERANG
40,2026-04-13 04:45:41.458098+00,31.9,67.5,293,TERANG
41,2026-04-13 04:50:41.665638+00,32.4,67.8,247,TERANG
42,2026-04-13 04:55:41.989393+00,31.8,67.4,269,TERANG
43,2026-04-13 05:00:42.274265+00,32,67,271,TERANG
44,2026-04-13 05:05:42.538064+00,32.3,66.5,274,TERANG
45,2026-04-13 05:10:42.698574+00,32.6,65.7,213,TERANG
46,2026-04-13 05:15:42.948765+00,33.2,65.5,189,TERANG
47,2026-04-13 05:20:43.104741+00,33.3,64.3,172,TERANG
48,2026-04-13 05:25:43.263922+00,33.3,63.8,171,TERANG
49,2026-04-13 05:30:43.495976+00,33.1,63.5,173,TERANG
50,2026-04-13 05:35:43.730924+00,33.3,63,157,TERANG
51,2026-04-13 05:40:44.137548+00,33.3,61.7,150,TERANG
52,2026-04-13 05:45:44.959928+00,33.3,64.1,170,TERANG
53,2026-04-13 05:50:45.127694+00,33.6,62.3,99,TERANG
54,2026-04-13 05:55:45.521869+00,33.8,60.8,94,TERANG
55,2026-04-13 06:00:45.869831+00,34.1,60.1,74,TERANG
56,2026-04-13 06:05:46.280726+00,34.2,58.9,62,TERANG
57,2026-04-13 06:10:46.506055+00,34.5,58.9,62,TERANG
58,2026-04-13 06:15:46.688154+00,34.8,57.5,37,TERANG
59,2026-04-13 06:20:46.837336+00,34.6,57,100,TERANG
60,2026-04-13 06:25:47.311533+00,34.8,57.2,22,TERANG
61,2026-04-13 06:30:47.820677+00,35.2,55.1,18,TERANG
62,2026-04-13 06:35:48.03554+00,35.7,54,14,TERANG
63,2026-04-13 06:40:48.331164+00,35.2,52.5,14,TERANG
64,2026-04-13 06:45:50.940389+00,35.6,52.1,13,TERANG
65,2026-04-13 06:50:51.116402+00,35.7,51.5,7,TERANG
66,2026-04-13 06:55:51.817418+00,35.6,50.1,11,TERANG
67,2026-04-13 07:00:54.158573+00,35.7,49.2,12,TERANG
68,2026-04-13 07:05:54.845392+00,36.1,50.3,17,TERANG
69,2026-04-13 07:10:55.033715+00,35.9,50.6,20,TERANG
70,2026-04-13 07:15:55.335245+00,36.2,49.7,22,TERANG
71,2026-04-13 07:20:56.157049+00,36.1,49.7,21,TERANG
